Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""Python algorithm to find the indexes of the k smallest number in an unsorted array?""",p3_find_n_smallest_number,0.0036634,0.003992622,0.0057573,0.003992622,0
10000,prompt_human,"""Python algorithm to find the indexes of the k smallest number in an unsorted array?""",p3_find_n_smallest_number,0.0342467,0.037707406,0.051,0.037707406,0
100000,prompt_human,"""Python algorithm to find the indexes of the k smallest number in an unsorted array?""",p3_find_n_smallest_number,1.1863484,1.2286353,1.3007044,0.847449152,44.9804153
1000,prompt_1,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,1.86E-05,0.006464692,0.0174552,0.003992622,61.91595398
10000,prompt_1,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,1.89E-05,0.108734297,0.2119422,0.037707406,188.3632382
100000,prompt_1,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,0.2562686,1.644115914,3.5543639,0.847449152,94.00761805
1000,prompt_2,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,0.0018532,0.104850814,2.2056383,0.003992622,2526.114218
10000,prompt_2,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,0.0199094,30.10538106,600,0.037707406,79739.43807
100000,prompt_2,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,0.2009707,31.48500018,600,0.847449152,3615.267176
1000,prompt_3,"""Python algorithm to find the indexes of the k smallest number in an unsorted array? The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p3_find_n_smallest_number,0.0003416,0.053209834,2.2080585,0.003992622,1232.704023
